Filename,Pin,Direction,Max_rise_time,Max_fall_time,Worst_transition,Limit,Slack
data_trans2.lifcc.SH.SigRCmaxDP_ErPlus_modRvia_125c.setup.func.noxtalk.noocv.rpt,serdes_s4_lifc_u0/sbphys2a1s14lpp28g4l1c_phy_u0/BLOCK_BUFFER_IN_CLK_20/A, in, 4.378983, 4.393521, 4.393521, 0.200000,4.1935
data_trans2.lifcc.SH.SigRCmaxDP_ErPlus_modRvia_125c.setup.func.noxtalk.noocv.rpt,esi_dft_occ_wrap_SERDES_scan_clk_ln1_rxdiv_i/pll_clk_ATibuf_i101/A, in, 2.210853, 2.224437, 2.224437, 0.200000,2.0244
data_trans2.lifcc.SH.SigRCmaxDP_ErPlus_modRvia_125c.setup.func.noxtalk.noocv.rpt,serdes_s4_lifc_u0/sbphys2a1s14lpp28g4l1c_phy_u0/BLOCK_BUFFER_IN_CLK_21/A, in, 1.819183, 1.829395, 1.829395, 0.200000,1.6294
data_trans2.lifcc.SH.SigRCmaxDP_ErPlus_modRvia_125c.setup.func.noxtalk.noocv.rpt,BLOCK_BUFFER_OUT_385/A, in, 1.678794, 1.684587, 1.684587, 0.200000,1.4846
data_trans2.lifcc.SH.SigRCmaxDP_ErPlus_modRvia_125c.setup.func.noxtalk.noocv.rpt,diode445109/A, in, 1.678796, 1.684591, 1.684591, 0.200000,1.4846
data_trans2.lifcc.SH.SigRCmaxDP_ErPlus_modRvia_125c.setup.func.noxtalk.noocv.rpt,diode445104/A, in, 1.657988, 1.644896, 1.657988, 0.200000,1.458
data_trans2.lifcc.SH.SigRCmaxDP_ErPlus_modRvia_125c.setup.func.noxtalk.noocv.rpt,BLOCK_BUFFER_OUT_391/A, in, 1.657976, 1.644891, 1.657976, 0.200000,1.458
data_trans2.lifcc.SH.SigRCmaxDP_ErPlus_modRvia_125c.setup.func.noxtalk.noocv.rpt,serdes_s4_lifc_u0/sbphys2a1s14lpp28g4l1c_phy_u0/BLOCK_BUFFER_IN_CLK_17/A, in, 1.547171, 1.541559, 1.547171, 0.200000,1.3472
data_trans2.lifcc.SH.SigRCmaxDP_ErPlus_modRvia_125c.setup.func.noxtalk.noocv.rpt,diode445103/A, in, 1.399233, 1.355925, 1.399233, 0.200000,1.1992
data_trans2.lifcc.SH.SigRCmaxDP_ErPlus_modRvia_125c.setup.func.noxtalk.noocv.rpt,BLOCK_BUFFER_OUT_386/A, in, 1.399242, 1.355927, 1.399242, 0.200000,1.1992
data_trans2.lifcc.SH.SigRCmaxDP_ErPlus_modRvia_125c.setup.func.noxtalk.noocv.rpt,esi_dft_occ_wrap_SERDES_scan_clk_ln2_rx_i/pll_clk_ATibuf_i101/A, in, 1.189749, 1.205641, 1.205641, 0.200000,1.0056
